file,line,kind,status,text
CircleDataGenerator.cs,10,comment_or_string,PASS,/// t = 1[(x-cx)^2 + (y-cy)^2 &lt;= R^2]. No Math.PI.
Exp01Runner.cs,83,comment_or_string,PASS,"Log(console, ""Labels from geometry only; Math.PI not used."");"
Exp02Runner.cs,80,comment_or_string,PASS,"Log(console, ""Generating area data (pixel count, no Math.PI), n="" + radii.Length + ""..."");"
Exp02Runner.cs,443,comment_or_string,PASS,"sb.AppendLine(""Labels from pixel counts. **Math.PI was not used** to generate targets."");"
Exp03Runner.cs,481,comment_or_string,PASS,"sb.AppendLine(""Labels from digital perimeter. **Math.PI / 2πr were not used** to generate targets."");"
Exp04Runner.cs,37,comment_or_string,PASS,"/// For each observation depth N, Monte-Carlo area labels (no Math.PI) feed the"
Exp07Runner.cs,40,comment_or_string,PASS,/// Experiment 07 — operator ablation on pixel-area data (no Math.PI in labels).
GitHubMirrorPublisher.cs,316,comment_or_string,PASS,"sb.AppendLine(""Circle labels from (x-0.5)^2+(y-0.5)^2 <= R^2 only. No Math.PI."");"
PiDataGenerator.cs,11,comment_or_string,PASS,/// Euclidean boundary length (circumference). Never derived from Math.PI.
PiDataGenerator.cs,20,comment_or_string,PASS,"/// Pixel-counting and boundary-tracing geometry. No Math.PI, no trig-based"
PiDataGenerator.cs,137,comment_or_string,PASS,/// using Math.PI or 2πr as a label.
PiDataGenerator.cs,215,comment_or_string,PASS,/// (hits/N) * (2r)^2. Never uses Math.PI.
PiExperimentRunner.cs,62,comment_or_string,PASS,"Log(console, ""Generating area data (pixel count, no Math.PI)..."");"
PiExperimentRunner.cs,64,comment_or_string,PASS,"Log(console, ""Generating circumference data (boundary trace, no Math.PI)..."");"
PiExperimentRunner.cs,840,comment_or_string,PASS,"sb.AppendLine(""Data generated by pixel counting and boundary tracing. **Math.PI was not used** to label samples."");"
Exp02Runner.cs,257,posthoc_scoring_or_report,PASS,double pi = PiDataGenerator.ReferencePi();
Exp02Runner.cs,480,posthoc_scoring_or_report,PASS,if (Math.Abs(logs[i].RecoveredK - PiDataGenerator.ReferencePi())
Exp02Runner.cs,481,posthoc_scoring_or_report,PASS,< Math.Abs(bestK - PiDataGenerator.ReferencePi()))
Exp02Runner.cs,483,posthoc_scoring_or_report,PASS,if (Math.Abs(logs[i].RecoveredK - PiDataGenerator.ReferencePi())
Exp02Runner.cs,484,posthoc_scoring_or_report,PASS,> Math.Abs(worstK - PiDataGenerator.ReferencePi()))
Exp02Runner.cs,501,posthoc_scoring_or_report,PASS,double pi = PiDataGenerator.ReferencePi();
Exp03Runner.cs,301,posthoc_scoring_or_report,PASS,double twoPi = PiDataGenerator.ReferenceTwoPi();
Exp03Runner.cs,556,posthoc_scoring_or_report,PASS,double twoPi = PiDataGenerator.ReferenceTwoPi();
Exp03Runner.cs,583,posthoc_scoring_or_report,PASS,double twoPi = PiDataGenerator.ReferenceTwoPi();
Exp04Runner.cs,287,posthoc_scoring_or_report,PASS,double pi = PiDataGenerator.ReferencePi();
Exp07Runner.cs,283,posthoc_scoring_or_report,PASS,double pi = PiDataGenerator.ReferencePi();
Exp08Runner.cs,261,posthoc_scoring_or_report,PASS,double pi = PiDataGenerator.ReferencePi();
Exp09Runner.cs,306,posthoc_scoring_or_report,PASS,double pi = PiDataGenerator.ReferencePi();
Exp10Runner.cs,235,posthoc_scoring_or_report,PASS,double pi = PiDataGenerator.ReferencePi();
Exp11Runner.cs,295,posthoc_scoring_or_report,PASS,double pi = PiDataGenerator.ReferencePi();
PiDataGenerator.cs,28,definition,PASS,public static double ReferencePi()
PiDataGenerator.cs,33,definition,PASS,public static double ReferenceTwoPi()
PiDataGenerator.cs,35,posthoc_scoring_or_report,PASS,return 2.0 * ReferencePi();
PiEquationParser.cs,56,posthoc_scoring_or_report,PASS,rec.TargetConstant = areaTask ? PiDataGenerator.ReferencePi() : PiDataGenerator.ReferenceTwoPi();
PiEquationParser.cs,88,posthoc_scoring_or_report,PASS,double pi = PiDataGenerator.ReferencePi();
PiEquationParser.cs,89,posthoc_scoring_or_report,PASS,double twoPi = PiDataGenerator.ReferenceTwoPi();
Exp01Runner.cs,47,AllowFallback_false,PASS,opt.AllowFallback = false;
Exp02Runner.cs,51,AllowFallback_false,PASS,opt.AllowFallback = false; // never grow the net because k is far from π
Exp03Runner.cs,52,AllowFallback_false,PASS,opt.AllowFallback = false;
Exp04Runner.cs,47,AllowFallback_false,PASS,opt.AllowFallback = false;
Exp05Runner.cs,79,AllowFallback_false,PASS,opt.AllowFallback = false;
Exp07Runner.cs,63,AllowFallback_false,PASS,opt.AllowFallback = false;
Exp08Runner.cs,53,AllowFallback_false,PASS,opt.AllowFallback = false;
Exp09Runner.cs,48,AllowFallback_false,PASS,opt.AllowFallback = false;
Exp10Runner.cs,48,AllowFallback_false,PASS,opt.AllowFallback = false;
Exp11Runner.cs,57,AllowFallback_false,PASS,opt.AllowFallback = false;
Exp12Runner.cs,56,AllowFallback_false,PASS,opt.AllowFallback = false;
Exp13Runner.cs,38,AllowFallback_false,PASS,opt.AllowFallback = false;
Exp14Runner.cs,0,python_delegate_n_a,PASS,no network training; AllowFallback N/A
Exp16Runner.cs,0,python_delegate_n_a,PASS,no network training; AllowFallback N/A
Exp17Runner.cs,0,python_delegate_n_a,PASS,no network training; AllowFallback N/A
Exp18Runner.cs,0,python_delegate_n_a,PASS,no network training; AllowFallback N/A
Exp19Runner.cs,0,python_delegate_n_a,PASS,no network training; AllowFallback N/A
Exp20Runner.cs,0,python_delegate_n_a,PASS,no network training; AllowFallback N/A
PiExperimentRunner.cs,1004,default_AllowFallback,PASS,public bool AllowFallback = false (must be false so UI/legacy cannot grow toward pi)
PiExperimentRunner.cs,117,fallback_gated_by_AllowFallback,PASS,hidden=50 growth if RelativeError>0.05 only when AllowFallback (disabled on Exp runners)
(prune path),0,prune_no_pi_objective,PASS,No ReferencePi/Math.PI in prune-acceptance lines scanned
exp16_figures.py,88,python_pi_mention,PASS,"th = np.linspace(0, 2 * math.pi, 400)"
exp16_figures.py,133,python_pi_mention,PASS,"th = np.linspace(0, 2 * math.pi, 400)"
exp19_pi_policy.py,58,python_pi_mention,PASS,| Label targets with `Math.PI` or 2πr | Not used (geometry / Monte Carlo only) |
exp19_pi_policy.py,74,python_pi_mention,PASS,"if ""Math.PI"" in line:"
exp19_pi_policy.py,77,python_pi_mention,PASS,"in_code = ""Math.PI"" in code and not code.strip().startswith(""*"")"
exp19_pi_policy.py,78,python_pi_mention,PASS,# string/comment mentions are OK; actual Math.PI token in executable code is FAIL
exp19_pi_policy.py,82,python_pi_mention,PASS,"# If Math.PI only appears inside a string literal about ""no Math.PI"", treat as OK"
exp19_pi_policy.py,83,python_pi_mention,PASS,"if ""Math.PI"" in code and ('""' in code or ""'"" in code):"
exp19_pi_policy.py,90,python_pi_mention,PASS,"""kind"": ""EXECUTABLE_Math.PI"" if executable else ""comment_or_string"","
exp19_pi_policy.py,248,python_pi_mention,PASS,"""ReferencePi"" in line or ""Math.PI"" in line.split(""//"")[0]"
exp19_pi_policy.py,266,python_pi_mention,PASS,"""text"": ""No ReferencePi/Math.PI in prune-acceptance lines scanned"","
exp19_pi_policy.py,291,python_pi_mention,PASS,# Also scan root python for Math.PI used as label objective (not scoring)
exp19_pi_policy.py,294,python_pi_mention,PASS,"if ""math.pi"" in text.lower() or ""Math.PI"" in text:"
exp19_pi_policy.py,336,python_pi_mention,PASS,"""No executable Math.PI labeling; ReferencePi used only for post-hoc scoring."","
